#{"t_start": 1761574197.8019698, "env_id": "None"}
r,l,t
742.6609,1000,3424.66645
10.033302,1000,3424.780581
577.237,1000,3433.390651
584.2164,1000,3435.365617
673.8609,1000,3491.334668
888.5594,1000,3491.902319
473.8822,1000,3492.332892
908.7062,913,3493.673711
790.5114,1000,3494.403612
860.7881,1000,3495.024149
903.40405,966,3496.076807
718.4954,1000,3507.267678
85.428986,1000,3520.719974
840.2008,1000,3521.286193
266.36475,1000,3521.726325
541.44434,1000,3523.0015
191.5089,1000,3523.696116
325.0719,1000,3524.273463
738.95197,1000,3525.100812
830.005,1000,3536.877007
779.38885,1000,3549.68648
915.2065,848,3550.295773
868.8642,1000,3550.315427
528.5732,1000,3550.772277
915.60596,844,3550.792694
229.92822,1000,3553.214907
227.69836,1000,3553.984015
629.4493,1000,3563.419472
59.574608,1000,3642.952805
707.8184,1000,3643.514892
550.4924,1000,3643.533912
860.5315,1000,3644.005886
855.17786,1000,3644.026532
786.52844,1000,3646.213228
627.59314,1000,3646.939384
892.54584,1000,3656.791146
874.5301,1000,3671.609841
816.0612,1000,3672.114483
873.4925,1000,3672.133007
884.687,1000,3672.581494
861.8106,1000,3672.599803
882.82416,1000,3674.757489
664.90826,1000,3675.358504
534.0754,1000,3684.977192
932.60345,674,3687.6354
94.44208,1000,3697.973912
869.90784,1000,3698.472684
248.74976,1000,3698.4913
607.32697,1000,3699.012328
653.4765,1000,3701.244856
872.6071,1000,3703.466635
852.55225,1000,3714.107856
915.00616,850,3715.154259
913.9048,861,3778.488683
255.41736,1000,3787.010986
887.1838,1000,3787.498627
263.32898,1000,3787.896577
243.74548,1000,3789.860596
893.20154,1000,3790.366309
911.20374,888,3791.823585
74.090485,1000,3801.071243
910.2056,898,3805.807113
544.5047,1000,3806.026962
205.02658,1000,3814.704173
888.9353,1000,3815.106204
682.8947,1000,3817.072132
47.4834,1000,3817.517113
184.78502,1000,3818.521142
905.2071,948,3827.622474
879.0274,1000,3831.383484
872.6072,1000,3831.610263
407.6407,1000,3842.719975
241.0553,1000,3843.118241
44.405663,1000,3845.103106
888.09985,1000,3845.542545
462.91095,1000,3846.613039
868.20795,1000,3856.107228
874.55505,1000,3859.574243
564.3699,1000,3859.790906
904.40643,956,3914.822912
886.01685,1000,3923.169453
886.75775,1000,3925.226949
856.0856,1000,3925.72306
295.26602,1000,3926.745166
865.64355,1000,3929.531752
774.5861,1000,3941.260226
878.028,1000,3941.407781
905.80597,942,3941.797481
719.1202,1000,3951.002275
912.60693,874,3951.6952
883.55743,1000,3953.443619
64.983086,1000,3954.424063
859.05414,1000,3956.871986
920.60284,794,3967.447837
60.000084,1000,3967.60736
880.3342,1000,3967.750839
768.4246,1000,3968.130741
905.6057,944,3970.589381
883.55695,1000,3980.932155
886.35736,1000,3981.936296
66.66635,1000,3984.073557
808.23315,1000,3994.820371
869.29065,1000,3994.988695
889.517,1000,3995.135039
875.91364,1000,3995.539387
881.2122,1000,4055.332587
801.3653,1000,4065.079859
873.60175,1000,4066.112474
881.55597,1000,4068.154583
915.30225,847,4079.972379
874.44824,1000,4081.052235
859.88586,1000,4081.233631
847.7703,1000,4081.391366
283.8662,1000,4084.174831
874.36664,1000,4093.478372
877.13025,1000,4094.556062
610.1545,1000,4096.341323
914.90643,851,4105.467917
885.56866,1000,4106.12411
843.9,1000,4107.305539
858.49756,1000,4109.073402
865.16626,1000,4111.399086
559.6981,1000,4120.831328
844.06396,1000,4121.807917
871.3335,1000,4123.440869
841.18536,1000,4132.718426
912.908,871,4133.201667
883.8245,1000,4133.331022
876.35895,1000,4134.405921
859.1885,1000,4136.850173
67.223755,1000,4206.323727
885.4649,1000,4208.698415
528.8663,1000,4214.105784
79.244064,1000,4224.659935
201.23737,1000,4225.133045
612.16986,1000,4225.258748
513.3737,1000,4226.425233
854.7116,1000,4228.903488
780.7374,1000,4239.189897
453.18744,1000,4240.146999
812.2288,1000,4241.701964
308.63345,1000,4253.463372
853.34174,1000,4253.945448
671.5471,1000,4254.07196
877.49805,1000,4255.201091
843.867,1000,4257.458287
252.37659,1000,4267.651889
207.93176,1000,4268.625093
831.6646,1000,4270.298254
32.14422,1000,4273.21539
838.46747,1000,4282.136105
681.8864,1000,4282.262414
892.62775,1000,4283.282062
865.5225,1000,4285.587056
-24.749313,833,4288.322201
780.74023,1000,4295.477651
875.6187,1000,4353.544907
742.6006,1000,4357.690206
770.7502,1000,4365.305816
824.9228,1000,4365.426601
478.43115,1000,4366.429384
152.19466,1000,4368.580366
201.74957,1000,4370.783371
82.15458,1000,4380.519471
872.7028,1000,4383.203158
788.5407,1000,4385.506334
820.39056,1000,4386.524701
831.18304,1000,4386.816453
881.48956,1000,4394.217446
70.21228,1000,4396.18293
837.26556,1000,4398.113209
803.6276,1000,4405.967778
917.8007,822,4406.58557
829.8299,1000,4410.2466
827.2838,1000,4411.08594
874.7388,1000,4411.317226
282.9069,1000,4421.216084
877.53754,1000,4423.207281
882.70984,1000,4425.255572
889.69653,1000,4426.837223
869.7042,1000,4434.673881
694.31305,1000,4496.315493
879.6706,1000,4497.476155
881.75903,1000,4497.791262
683.6169,1000,4505.965992
882.20435,1000,4508.242975
884.50146,1000,4509.978245
909.5057,905,4510.70219
864.9751,1000,4511.293833
849.83154,1000,4524.782498
534.0784,1000,4525.615223
884.9154,1000,4525.847927
867.0019,1000,4534.016973
359.27856,1000,4536.052263
883.34125,1000,4537.803238
866.6758,1000,4538.466631
883.7713,1000,4539.030326
73.07605,1000,4553.250629
882.70825,1000,4554.040781
860.00995,1000,4554.256834
91.17431,1000,4556.533401
831.66376,1000,4565.320201
752.6058,1000,4566.943709
818.9249,1000,4567.481846
857.15326,1000,4568.010201
862.33527,1000,4641.134099
881.7566,1000,4642.34468
762.6851,1000,4642.65009
850.57825,1000,4645.260792
499.34265,1000,4656.337652
862.5873,1000,4657.898829
882.7657,1000,4658.367855
633.7963,1000,4658.799363
877.70496,1000,4670.9954
892.70685,1000,4671.514703
523.29755,1000,4671.649868
844.0838,1000,4673.41665
835.9544,1000,4683.04722
637.3183,1000,4686.24108
853.5811,1000,4686.699366
683.3936,1000,4687.061255
909.10754,909,4698.7231
151.60826,1000,4699.187952
814.40894,1000,4699.825119
689.1578,1000,4701.3697
868.7504,1000,4711.042011
287.4131,1000,4712.721314
876.93335,1000,4713.204173
850.8267,1000,4713.575628
203.02551,1000,4727.044778
110.16596,1000,4788.274276
871.8408,1000,4789.789511
889.3339,1000,4792.362186
751.52075,1000,4803.029135
870.39856,1000,4804.697009
872.5165,1000,4805.146187
877.94977,1000,4805.499524
344.0629,1000,4817.441083
863.82184,1000,4817.946342
862.5087,1000,4818.628105
849.46625,1000,4821.389317
341.0725,1000,4830.771113
873.1593,1000,4832.383882
856.6901,1000,4832.880487
878.27057,1000,4833.26377
870.5943,1000,4845.356883
880.0089,1000,4845.812939
845.5828,1000,4846.49049
886.7149,1000,4847.67989
847.8036,1000,4859.353392
868.42694,1000,4861.063072
885.72186,1000,4861.532714
844.80853,1000,4861.893826
921.60596,784,4865.195974
875.81586,1000,4873.922758
789.6903,1000,4875.031779
873.25494,1000,4937.360335
870.88043,1000,4948.572928
920.1062,799,4948.807453
878.1342,1000,4950.036569
104.45772,1000,4950.480702
915.0037,850,4951.346524
893.09015,1000,4964.690372
56.3639,1000,4965.766012
863.77826,1000,4966.87181
472.99805,1000,4977.194928
876.7502,1000,4977.547871
842.24994,1000,4978.807871
867.32623,1000,4979.246527
812.0588,1000,4980.085217
650.00867,1000,4992.983023
873.3924,1000,4994.154555
839.6314,1000,4995.335208
561.4876,1000,4998.316394
859.3328,1000,5005.162504
834.55646,1000,5006.636673
837.04626,1000,5007.158273
706.90424,1000,5008.140936
903.109,969,5019.752594
911.20856,888,5021.171018
861.172,1000,5021.26935
834.86273,1000,5095.946722
845.7736,1000,5096.515142
885.1297,1000,5104.756674
466.5479,1000,5105.342397
878.8828,1000,5106.295662
64.17878,1000,5117.520432
402.97195,1000,5118.774527
868.06067,1000,5118.858654
924.305,757,5119.468007
858.0493,1000,5123.075637
851.92773,1000,5132.921617
652.3877,1000,5133.343897
873.60315,1000,5134.169172
886.11676,1000,5138.677788
860.4018,1000,5147.170795
865.8794,1000,5147.261187
834.4366,1000,5147.946252
870.92114,1000,5151.265001
852.8736,1000,5161.916301
861.29565,1000,5162.354906
879.73883,1000,5163.206582
290.56738,1000,5167.563715
851.32214,1000,5176.175056
44.782463,1000,5176.2664
857.90045,1000,5176.973147
925.8029,742,5179.034856
650.8389,1000,5245.410696
859.60675,1000,5254.212303
883.2884,1000,5255.574813
923.20215,768,5257.618638
924.50214,755,5258.419035
834.4902,1000,5259.378302
892.37775,1000,5270.364715
808.5445,1000,5272.981599
441.79092,1000,5274.369838
859.7161,1000,5284.618908
38.183174,1000,5286.062132
58.945953,272,5286.438476
847.37537,1000,5288.281792
87.71252,1000,5289.138078
873.07477,1000,5290.184124
515.63446,1000,5301.304235
143.1564,1000,5304.017963
873.86304,1000,5306.720021
870.04913,1000,5314.829991
838.3172,1000,5315.097815
-42.176605,1000,5316.83371
860.7893,1000,5317.450288
804.29706,1000,5318.248211
871.6413,1000,5327.600923
873.42645,1000,5332.114877
852.87103,1000,5392.177118
70.90832,1000,5401.973486
867.0025,1000,5402.228578
887.86774,1000,5404.064934
375.72583,1000,5404.721683
915.0052,850,5405.245244
819.2609,1000,5405.518981
367.4875,1000,5417.28079
868.76,1000,5420.256404
875.8695,1000,5428.797702
846.3146,1000,5429.170851
577.92487,1000,5432.495891
873.4266,1000,5433.112643
88.11715,1000,5433.503596
893.67896,1000,5433.691245
830.92725,1000,5445.481227
875.00824,1000,5448.296968
641.83923,1000,5456.954527
862.8368,1000,5457.207087
859.26636,1000,5458.825781
885.1419,1000,5459.450186
864.7488,1000,5459.863243
98.603516,1000,5460.06239
344.0847,1000,5473.670033
562.46967,1000,5476.251699
871.64233,1000,5543.683834
873.39154,1000,5543.929185
856.38055,1000,5545.515767
860.2727,1000,5546.097505
887.29865,1000,5546.473636
857.24365,1000,5546.656924
444.33783,1000,5557.852857
658.4331,1000,5560.245214
842.75745,1000,5562.457747
97.0233,1000,5571.230278
451.1317,1000,5572.948296
877.4563,1000,5573.541493
901.7062,983,5573.748152
775.78815,995,5574.046063
924.8058,752,5575.509378
829.83136,1000,5587.586889
